OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,GlobalID,Shape__Length
40,BPT-TEE-A,110,COMMISSIONED,Black Point - Tee A,TRANSLINE,110 TRANSLINE,37fb66e3-8a14-4c06-965b-22d96a8686cf,3535.6973244797
41,BRB-DEV-A,220,COMMISSIONED,Bream Bay - Deviation A,TRANSLINE,220 TRANSLINE,800833a5-586d-4e00-b9a5-03be4f785e24,3613.99625216938
42,BRK-BPE-A,220,COMMISSIONED,Brunswick - Bunnythorpe A,TRANSLINE,220 TRANSLINE,ef61b28e-3893-4d38-bb16-e506c73b965c,71538.4826012506
43,BRK-SFD-A,220,COMMISSIONED,Brunswick - Stratford A,TRANSLINE,220 TRANSLINE,f333bdd0-bdf5-4e03-a243-a3f7ffbfb50a,96268.3529521796
44,BRK-SFD-B,220,COMMISSIONED,Brunswick - Stratford B,TRANSLINE,220 TRANSLINE,638ac443-a25e-43c7-a7e8-ed2f06412278,96741.1810114519
45,BRY-ISL-A,220,COMMISSIONED,Bromley - Islington A,TRANSLINE,220 TRANSLINE,13dae57a-0cb5-4e0a-b6b6-0892136901c8,28312.4364730289
46,BWR-IGH-A,110,COMMISSIONED,Blackwater - Inangahua A,TRANSLINE,110 TRANSLINE,2dc30dd3-e395-4df1-b998-184119fdc2fd,54076.7286278562
47,CHH-TWZ-A,220,COMMISSIONED,Christchurch - Twizel A,TRANSLINE,220 TRANSLINE,c37528d1-65d1-4c5a-9d6b-4743c655119b,216842.263971996
48,CML-FKN-A,110,COMMISSIONED,Cromwell - Frankton A,TRANSLINE,110 TRANSLINE,d5d8787d-ba40-4ff9-84b7-1da17d3093d6,40832.9460986105
49,COL-BKD-D,66,COMMISSIONED,Coleridge - Brackendale D,TRANSLINE,66 TRANSLINE,d9e48cd6-7274-4dbd-9a7d-29bc7ad35c67,33111.2274198566
50,CPK-WIL-A,110,COMMISSIONED,Central Park - Wilton A,TRANSLINE,110 TRANSLINE,b62959a7-7ed9-412e-9504-894ac2658c3c,4793.78284047954
51,CPK-WIL-B,110,COMMISSIONED,Central Park - Wilton B,TRANSLINE,110 TRANSLINE,38bb50fd-f060-4006-83c7-6f2d47fc98e4,13015.4653417324
52,CST-HUI-A,110,COMMISSIONED,Carrington St - Huirangi A,TRANSLINE,110 TRANSLINE,c004952a-0fa5-4674-8d4d-f2cfd53e1c74,15427.5838723139
53,CST-NPL-A,110,COMMISSIONED,Carrington St - New Plymouth A,TRANSLINE,110 TRANSLINE,e26d8a2d-9b65-47ce-8ec3-3af3d28a6239,9105.51715299556
54,CST-SFD-A,110,COMMISSIONED,Carrington St - Stratford A,TRANSLINE,110 TRANSLINE,83c6612c-0e9c-4665-850c-1c0ceaa4ba19,36924.7439147995
55,DOB-BWR-A,110,COMMISSIONED,Dobson - Blackwater A,TRANSLINE,110 TRANSLINE,4686df5b-f7be-4aaa-b06b-b8af81a32e3f,44667.5957240847
56,DOB-TEE-A,110,COMMISSIONED,Dobson - Tee A,TRANSLINE,110 TRANSLINE,f65754ab-123f-4434-a5be-235c0a29e595,74598.1083714405
57,EDG-TRK-A,220,COMMISSIONED,Edgecumbe - Tarukenga A,TRANSLINE,220 TRANSLINE,d4727f71-f46d-40f0-8ea8-e7db89a79a89,66826.565535414
58,FHL-DEV-A,110,COMMISSIONED,Fernhill - Deviation A,TRANSLINE,110 TRANSLINE,1934a787-a6cf-4959-a4db-da7b8d61ca87,18437.4010895645
59,FHL-RDF-A,110,COMMISSIONED,Fernhill - Redclyffe A,TRANSLINE,110 TRANSLINE,30c017b4-28d1-4494-abeb-9d5dc8418faa,8220.80126237021
60,FHL-RDF-B,110,COMMISSIONED,Fernhill - Redclyffe B,TRANSLINE,110 TRANSLINE,f329ec79-0aab-4b41-8482-9bbb8ff4ac11,6485.29587348893
61,FHL-WDV-A,110,COMMISSIONED,Fernhill - Woodville A,TRANSLINE,110 TRANSLINE,525615b9-0b3e-45bf-852b-40c9bda70c10,114094.656851971
62,FHL-WDV-B,110,COMMISSIONED,Fernhill - Woodville B,TRANSLINE,110 TRANSLINE,2407ab8e-06ea-438f-9214-c65d2be18918,112186.170903268
63,GLN-DEV-A,220,COMMISSIONED,Glenbrook - Deviation A,TRANSLINE,220 TRANSLINE,307125af-29bc-4b30-89b5-25d7793027cc,23530.601061913
64,GNY-OAM-A,110,COMMISSIONED,Glenavy - Oamaru A,TRANSLINE,110 TRANSLINE,21659cef-87a4-4936-b282-1238da3fb9c5,27096.4984948504
65,GNY-OAM-B,110,COMMISSIONED,Glenavy - Oamaru B,TRANSLINE,110 TRANSLINE,506bb0fd-0e2f-4422-b19f-cfba51e4ce32,24503.0340593115
66,GNY-TIM-A,110,COMMISSIONED,Glenavy - Timaru A,TRANSLINE,110 TRANSLINE,b1e92397-0f44-4564-922b-2cd24bf506d3,70696.2074314773
67,GNY-WTK-A,110,COMMISSIONED,Glenavy - Waitaki A,TRANSLINE,110 TRANSLINE,abca7787-1cd3-4f9d-acd4-dba352c1ad03,61396.0135181825
68,GOR-HWB-A,110,COMMISSIONED,Gore - Halfway Bush A,TRANSLINE,110 TRANSLINE,25a3ddd4-59ad-4558-9a3c-8293e63fe4e1,141762.523057893
69,GOR-INV-A,110,COMMISSIONED,Gore - Invercargill A,TRANSLINE,110 TRANSLINE,3c765cc2-f99a-4094-a772-9eff824d3acf,57273.2483228626
70,GOR-ROX-A,110,COMMISSIONED,Gore - Roxburgh A,TRANSLINE,110 TRANSLINE,553af889-22e2-4f94-aeb7-c82be91fef61,83517.7040560731
71,HAI-MTM-A,110,COMMISSIONED,Hairini - Mt Maunganui A,TRANSLINE,110 TRANSLINE,7d5a5af5-b14a-4f36-84c7-2d82ffff4a6a,8388.09927094632
72,HAI-MTM-B,110,COMMISSIONED,Hairini - Mt Maunganui B,TRANSLINE,110 TRANSLINE,5757ee22-3925-4c87-aa8e-fe0bdba4bd8f,8763.40250202844
